"SeriesCode","Year","DESCRIPTION",
"SP.DYN.AMRT.FE","YR2005","Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2006","Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2006","Interpolated using data for 2002 and 2007, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2007","The data refer to 2005-2010, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2007","The data refer to 2005-2010, if the data source is United Nations World Population Prospects.",
"SM.POP.NETM","YR2007","The data refer to five-year periods running from 1 July, 2005 to 30 June, 2010.",
"SP.POP.BRTH.MF","YR2007","The data refer to 2005-2010.",
"SP.POP.BRTH.MF","YR2008","Interpolated using data for 2007 and 2012.",
"SP.DYN.AMRT.FE","YR2008","Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2008","Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2009","Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2009","Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR2009","Interpolated using data for 2007 and 2012.",
"SP.POP.BRTH.MF","YR2010","Interpolated using data for 2007 and 2012.",
"SP.DYN.AMRT.FE","YR2010","Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2010","Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2011","Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2011","Interpolated using data for 2007 and 2012, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR2011","Interpolated using data for 2007 and 2012.",
"SP.POP.BRTH.MF","YR2012","The data refer to 2010-2015.",
"SM.POP.NETM","YR2012","The data refer to five-year periods running from 1 July, 2010 to 30 June, 2015.",
"SP.DYN.AMRT.FE","YR2012","The data refer to 2010-2015, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2012","The data refer to 2010-2015, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2013","Interpolated using data for 2012 and 2017, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2013","Interpolated using data for 2012 and 2017, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR2013","Interpolated using data for 2012 and 2017.",
"SP.POP.BRTH.MF","YR2014","Interpolated using data for 2012 and 2017.",
"SP.DYN.AMRT.FE","YR2014","Interpolated using data for 2012 and 2017, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2014","Interpolated using data for 2012 and 2017, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.MA","YR2015","Interpolated using data for 2012 and 2017, if the data source is United Nations World Population Prospects.",
"SP.DYN.AMRT.FE","YR2015","Interpolated using data for 2012 and 2017, if the data source is United Nations World Population Prospects.",
"SP.POP.BRTH.MF","YR2015","Interpolated using data for 2012 and 2017.",
"SP.POP.BRTH.MF","YR2017","The data refer to 2015-2020.",
"SM.POP.NETM","YR2017","The data refer to five-year periods running from 1 July, 2015 to 30 June, 2020.",
"SM.POP.NETM","YR2022","The data refer to five-year periods running from 1 July, 2020 to 30 June, 2025.",
"SP.POP.BRTH.MF","YR2022","The data refer to 2020-2025.",
"SP.POP.BRTH.MF","YR2027","The data refer to 2025-2030.",
"SM.POP.NETM","YR2027","The data refer to five-year periods running from 1 July, 2025 to 30 June, 2030.",
"SM.POP.NETM","YR2032","The data refer to five-year periods running from 1 July, 2030 to 30 June, 2035.",
"SP.POP.BRTH.MF","YR2032","The data refer to 2030-2035.",
"SP.POP.BRTH.MF","YR2037","The data refer to 2035-2040.",
"SM.POP.NETM","YR2037","The data refer to five-year periods running from 1 July, 2035 to 30 June, 2040.",
"SM.POP.NETM","YR2042","The data refer to five-year periods running from 1 July, 2040 to 30 June, 2045.",
"SP.POP.BRTH.MF","YR2042","The data refer to 2040-2045.",
"SP.POP.BRTH.MF","YR2047","The data refer to 2045-2050.",
"SM.POP.NETM","YR2047","The data refer to five-year periods running from 1 July, 2045 to 30 June, 2050.",
