Country;Year_survey;Index;Headcount_(%);Intensity_of_deprivation;Number_of_poor_(year_of_survey);Number_of_poor_2016;Population_vulnerable_to_multidimensional_poverty;Population_in_severe_multidimensional_poverty ;Contribution of depr (Health);Contribution of depr (Education);Contribution of depr (Standard of living)
Gabon;2012 D;0,0666855800;15,0391891600;44,3412065500;264,2110318000;297,7437744000;17,6256641700;4,8121642320;32,2613298900;26,4580011400;41,2806600300
Philippines;2013 D;0,0383479450;7,4066042900;51,7753422300;7294,1002670000;7652,5195310000;9,3334957960;4,7416795050;20,6890076400;21,4663803600;57,8446149800
Eswatini (Kingdom of);2014 M;0,0829462190;19,5858508300;42,3500746500;253,6557666000;263,0571899000;20,9191054100;4,4279411440;45,7205921400;25,5097627600;28,7696450900
Sao Tome and Principe;2014 M;0,0922607700;22,1241846700;41,7013198100;42,3160452600;44,2284584000;19,3582668900;4,4017184530;29,2117923500;11,4051379300;59,3830704700
Iraq;2011 M;0,0586333270;14,6574229000;40,0024801500;4650,3683320000;5452,9379880000;7,9006239770;2,9978377740;49,7614100000;22,9037530000;27,3348323000
Peru;2012 D;0,0515928190;12,4453261500;41,4555788000;3753,3818060000;3954,3579100000;12,4573171100;2,7233703060;20,5688223200;42,6734328300;36,7577433600
Suriname;2010 M;0,0407188830;9,3831323090;43,3958321800;49,3649433900;52,3924064600;4,4727660720;2,5114383550;29,8515975500;17,5245001900;52,6239037500
Tajikistan;2012 D;0,0488811280;12,1117852600;40,3583198800;968,3447411000;1057,9584960000;25,4364527800;2,3156035690;15,1646360800;38,2509797800;46,5843796700
El Salvador;2014 M;0,0328280780;7,9485803840;41,3005530800;499,2653568000;504,3153381000;9,9437922240;1,6853764650;31,6301167000;18,6496734600;49,7202068600
Mongolia;2013 M;0,0426508340;10,2435767700;41,6366607000;293,8991678000;310,1138306000;19,1383659800;1,5775894750;18,6953425400;37,3194754100;43,9851790700
Indonesia;2012 D;0,0293199380;7,2466149930;40,4601842200;18035,6094600000;18922,0312500000;9,1025382280;1,2355989780;24,1550445600;20,7849010800;55,0600528700
Syrian Arab Republic;2009 P;0,0287743300;7,3917642240;38,9275521000;1539,3269900000;1362,3356930000;7,7484488490;1,2294572780;19,5546388600;24,0780264100;56,3673317400
South Africa;2014/2015 N;0,0322790000;8,2188210000;39,2744700000;4544,2868110000;4603,8114580000;14,0123800000;1,1208300000;36,3445161000;38,0322400000;25,6232402000
Mexico;2016 N;0,0247869010;6,3203245400;39,2177671200;8060,9684640000;8060,9687500000;4,7374203800;1,0204114020;15,9292623400;43,1933879900;40,8773541500
Paraguay;2016 M;0,0191907770;4,5738752930;41,9573664700;307,6072056000;307,6072083000;7,3057342320;1,0179523380;15,1105582700;37,9219561800;46,9674825700
